2025-11-25T16:32:40.197Z [INFO] 🚀 Server running on port 5000 
2025-11-25T16:32:40.198Z [INFO] 📱 API endpoints available at http://localhost:5000/api 
2025-11-25T16:32:40.198Z [INFO] 🌍 Environment: development 
2025-11-25T16:48:05.955Z [INFO] SIGINT received, shutting down gracefully 
2025-11-25T16:53:42.365Z [INFO] GET /api {"ip":"127.0.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"}
2025-11-25T16:53:42.459Z [INFO] GET /favicon.ico {"ip":"127.0.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"}
2025-11-25T16:54:27.538Z [INFO] POST /api/auth/login {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-25T17:16:19.015Z [INFO] POST /api/auth/login {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-25T17:29:29.829Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-25T17:29:29.844Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-25T17:29:36.277Z [INFO] GET /api/bookings/my-bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-25T17:29:37.860Z [INFO] GET /api/auth/profile {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-25T17:29:44.551Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-25T17:29:45.861Z [INFO] GET /api/bookings/my-bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-25T17:29:47.808Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-25T17:32:12.248Z [INFO] POST /api/auth/login {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-25T17:39:45.370Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-25T17:39:45.373Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-25T17:39:52.410Z [INFO] GET /api/bookings/my-bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-25T17:39:54.064Z [INFO] GET /api/auth/profile {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-25T17:39:55.781Z [INFO] GET /api/bookings/my-bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-25T17:39:57.437Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-25T17:45:36.787Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-25T17:45:36.792Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-25T17:52:29.405Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-25T17:52:29.408Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-25T17:52:46.514Z [INFO] GET /api/auth/profile {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-26T11:37:45.716Z [INFO] POST /api/auth/login {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-26T11:41:32.796Z [INFO] POST /api/auth/login {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-26T11:41:48.366Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-26T11:42:07.780Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-26T15:54:48.190Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-26T15:55:15.121Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-26T15:55:16.267Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-26T16:03:56.812Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"}
2025-11-26T16:03:57.008Z [INFO] GET /favicon.ico {"ip":"127.0.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"}
2025-11-26T16:09:11.790Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-26T16:09:16.734Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-26T16:15:40.390Z [INFO] SIGINT received, shutting down gracefully 
2025-11-26T16:16:02.979Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-26T16:16:06.102Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-26T16:24:29.562Z [INFO] GET /api/admin/fields/simple {"ip":"127.0.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"}
2025-11-27T06:08:44.283Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T06:08:54.618Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T06:09:21.768Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T06:09:23.226Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T06:09:33.140Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T06:09:37.701Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T06:22:29.060Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T09:24:43.901Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T09:24:45.752Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T09:24:51.396Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T09:24:57.539Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T09:27:43.397Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T09:37:32.018Z [INFO] SIGINT received, shutting down gracefully 
2025-11-27T09:38:34.471Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"}
2025-11-27T09:38:34.629Z [INFO] GET /favicon.ico {"ip":"127.0.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"}
2025-11-27T09:39:30.865Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"}
2025-11-27T09:42:30.894Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"PostmanRuntime/7.49.0"}
2025-11-27T09:43:11.586Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"PostmanRuntime/7.49.0"}
2025-11-27T09:44:05.425Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"PostmanRuntime/7.49.0"}
2025-11-27T09:48:05.991Z [INFO] SIGINT received, shutting down gracefully 
2025-11-27T09:48:15.569Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"PostmanRuntime/7.49.0"}
2025-11-27T10:10:53.886Z [INFO] SIGINT received, shutting down gracefully 
2025-11-27T10:11:03.813Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"PostmanRuntime/7.49.0"}
2025-11-27T10:11:36.835Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T10:11:39.390Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T10:11:42.008Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T10:11:43.622Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T10:11:46.265Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T10:15:52.326Z [INFO] SIGINT received, shutting down gracefully 
2025-11-27T10:16:07.089Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T10:17:30.763Z [INFO] SIGINT received, shutting down gracefully 
2025-11-27T10:17:46.743Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T10:17:53.276Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T10:21:45.666Z [INFO] SIGINT received, shutting down gracefully 
2025-11-27T10:22:02.042Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T10:24:38.157Z [INFO] SIGINT received, shutting down gracefully 
2025-11-27T10:24:54.961Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T10:28:19.893Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T10:37:11.076Z [INFO] SIGINT received, shutting down gracefully 
2025-11-27T10:37:25.951Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T10:40:12.243Z [INFO] SIGINT received, shutting down gracefully 
2025-11-27T10:40:26.176Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T10:40:27.971Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T10:45:38.430Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T10:45:43.987Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T11:25:53.103Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T11:25:55.292Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
